;경력;학력;지역;임금;고용형태;근무형태;복리후생;기업명;업종;기업규모;설립년도;연매출액;홈페이지;근로자수
173;3.0;학력무관;서울특별시;5000;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);퍼즐시스템즈;응용소프트웨어개발및공급업;중소기업;2017;6,330백만원;puzzlesystems.co.kr;35
174;5.0;학력무관;경상남도;3000;기간의정함이없는근로계약;주5일근무;식사제공(1식);웰팩토리;기타정보기술및컴퓨터운영관련서비스업;중소기업;2016;1,500백만원;www.targetzone.co.kr;10
175;3.0;대졸이상;경기도;4440;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);동성아이텍;컴퓨터프로그래밍서비스업;중소기업;2017;30백만원;flexparking.co.kr/intro/index.html;9
176;3.0;대졸이상;서울특별시;3900;기간의정함이없는근로계약;주5일근무;식사제공(1식);미래손;통신및방송장비제조업;중소기업;2007;2,000백만원;www.miraeson.com;12
177;3.0;학력무관;경기도;4200;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);비스퀘어랩;기타전문서비스업;중소기업;2018;;-;14
178;3.0;학력무관;경기도;4200;기간의정함이없는근로계약;주5일근무;식사제공(1식);비스퀘어랩;기타전문서비스업;중소기업;2018;;-;14
179;5.6;대졸이상;경기도;3500;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);재이;포털및기타인터넷정보매개서비스업;중소기업;2022;385백만원;-;4
180;3.0;대졸이상;서울특별시;4000;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);한백교역;정밀기기및과학기기도매업;중소기업;0;4,100백만원;www.hanbekco.com;11
181;3.0;학력무관;경기도;3600;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);오케이포장;그외기타달리분류되지않은제품제조업;;0;10,000백만원;-;3
182;5.0;학력무관;서울특별시;3900;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);프랜차이즈이알피연구소;경영컨설팅업;중소기업;2015;1,000백만원;www.franerp.com;6
183;3.0;학력무관;충청북도;3000;기간의정함이없는근로계약;주5일근무;식사제공(1식);㈜명진커넥션;응용소프트웨어개발및공급업;;0;;-;4
184;3.0;학력무관;경기도;3420;기간의정함이없는근로계약;주5일근무;;코리소프트;응용소프트웨어개발및공급업;중소기업;2019;;-;2
185;3.0;대졸이상;경상북도;3500;기간의정함이없는근로계약;주5일근무;차량유지비제공식사제공(3식);현대아이티;컴퓨터모니터제조업;중소기업;2013;24,925백만원;www.hyundaiit.com;62
186;5.0;대졸이상;경기도;5000;기간의정함이없는근로계약;주5일근무;통근버스제공식사제공(중식비지급);에코트로닉스;전자부품,컴퓨터,영상,음향및통신장비제조업;중소기업;1991;15,000백만원;www.ecotro.co.kr;90
187;3.0;학력무관;전라남도;3500;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);브리엘스홀딩스;그외기타분류안된전문,과학및기술서비스업;중소기업;2021;370백만원;-;4
188;5.0;대졸이상;서울특별시;5500;기간의정함이없는근로계약;주5일근무;교육비제공;코어소프트;컴퓨터프로그래밍서비스업;중소기업;2013;2,500백만원;www.coresoft.co.kr;24
189;3.0;학력무관;전라남도;6000;기간의정함이없는근로계약;주5일근무;식사제공(1식);케이엠;그외기타일반목적용기계제조업;중소기업;2015;1,000백만원;www.kmeng.co.kr;7
190;3.0;대졸이상;경상남도;4000;기간의정함이없는근로계약;주5일근무;식사제공(1식);네오헬스테크널러지;기타공학연구개발업;중소기업;2019;;-;0
191;3.0;대졸이상;서울특별시;3800;기간의정함이없는근로계약;주5일근무;;두두아이티;시스템소프트웨어개발및공급업;중소기업;2014;;-;49
192;10.0;대졸이상;경기도;5000;기간의정함이없는근로계약;주5일근무;식사제공(1식);유시스템;반도체제조용기계제조업;중소기업;2012;5,600백만원;www.u-system.co.kr;10
193;3.0;학력무관;서울특별시;4750;기간의정함이없는근로계약;주5일근무;;타파크로스;기타정보기술및컴퓨터운영관련서비스업;중소기업;2009;;www.tapacross.co.kr;16
194;3.0;학력무관;서울특별시;4750;기간의정함이없는근로계약;주5일근무;;타파크로스;기타정보기술및컴퓨터운영관련서비스업;중소기업;2009;;www.tapacross.co.kr;16
195;3.1;학력무관;경기도;3500;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);더나은커뮤니티;포털및기타인터넷정보매개서비스업;중소기업;2021;;-;10
